Part ID,Part Name,Specification,Manufacturer,O_Bar_Code,Licence_Number,Price,Quantity,Category,F_Bar_Code
P1077,Battery,Spec 77,Manufacturer C,1056652303,LIC4244,387.1,54,Battery,
P1078,Engine,Spec 78,Manufacturer A,5041323699,LIC1793,296.59,54,Spark Plug,
P1079,Engine,Spec 79,Manufacturer B,8867402620,LIC4013,493.21,47,Spark Plug,
P1080,Battery,Spec 80,Manufacturer B,1940890063,LIC5295,304.14,69,Brake Pad,
P1081,Alternator,Spec 81,Manufacturer C,8267881404,LIC8231,334.24,48,Engine,3.36808E+13
P1082,Engine,Spec 82,Manufacturer B,5119403819,LIC5069,169.6,13,Battery,4.95535E+13
P1083,Engine,Spec 83,Manufacturer A,9797130403,LIC9932,274.93,18,Tire,2.9949E+13
P1084,Battery,Spec 84,Manufacturer B,6116185025,LIC2559,424.71,40,Brake Pad,7.07303E+13
P1085,Battery,Spec 85,Manufacturer A,2456296317,LIC1450,261.89,19,Alternator,5.42022E+13
P1086,Battery,Spec 86,Manufacturer C,2945794021,LIC5378,232.28,2,Brake Pad,4.85454E+13
P1087,Spark Plug,Spec 87,Manufacturer A,9272315080,LIC1171,197.26,39,Engine,6.07753E+13
P1088,Brake Pad,Spec 88,Manufacturer A,5415500435,LIC3783,194.17,40,Engine,9.04857E+13
P1089,Engine,Spec 89,Manufacturer B,6753386887,LIC1918,335.99,32,Engine,2.02003E+13
P1090,Engine,Spec 90,Manufacturer A,4948037210,LIC6066,193.7,98,Engine,7.41634E+13
P1091,Battery,Spec 91,Manufacturer C,9307067204,LIC9580,315.79,11,Spark Plug,7.52967E+13
P1092,Battery,Spec 92,Manufacturer B,2983066946,LIC3299,360.05,74,Engine,2.68457E+13
P1093,Alternator,Spec 93,Manufacturer B,9283302018,LIC2703,67.45,78,Spark Plug,5.13111E+12
P1094,Spark Plug,Spec 94,Manufacturer C,2670473945,LIC7071,382.32,57,Battery,7.09537E+13
P1095,Alternator,Spec 95,Manufacturer C,9323275888,LIC7980,497.78,38,Tire,7.06731E+13
P1096,Battery,Spec 96,Manufacturer C,3462308492,LIC8510,414.01,2,Brake Pad,4.8179E+13
P1097,Engine,Spec 97,Manufacturer C,2902015845,LIC7120,110.28,34,Alternator,1.30238E+13
P1098,Alternator,Spec 98,Manufacturer C,8505845559,LIC8342,222.92,26,Spark Plug,2.90592E+13
P1099,Spark Plug,Spec 99,Manufacturer C,6940421033,LIC3353,478.19,69,Alternator,9.44622E+13
P1100,Engine,Spec 100,Manufacturer A,5670248608,LIC8236,116.65,95,Alternator,5.05744E+13
P1101,Tire,Spec 101,Manufacturer C,8026117115,LIC1158,260.33,93,Brake Pad,9.86521E+13
P1102,Spark Plug,Spec 102,Manufacturer A,3092766669,LIC4208,180.56,94,Spark Plug,2.31573E+12
P1103,Engine,Spec 103,Manufacturer A,7483765675,LIC1612,88.76,55,Engine,3.55527E+13
P1104,Battery,Spec 104,Manufacturer A,2256257353,LIC3040,328.06,18,Engine,6.92797E+13
P1105,Alternator,Spec 105,Manufacturer C,1047407638,LIC6399,427.06,72,Tire,7.59878E+13
P1106,Alternator,Spec 106,Manufacturer A,4617846890,LIC1703,220.37,70,Brake Pad,9.91426E+13
P1107,Engine,Spec 107,Manufacturer B,5235994318,LIC7707,209.1,69,Alternator,8.83834E+13
P1108,Battery,Spec 108,Manufacturer C,9000383194,LIC7763,252.71,36,Brake Pad,9.52332E+13
P1109,Spark Plug,Spec 109,Manufacturer C,2672062529,LIC3831,402.3,71,Engine,9.59894E+13
P1110,Engine,Spec 110,Manufacturer A,5713764847,LIC4728,302.13,80,Engine,2.64442E+13
P1111,Spark Plug,Spec 111,Manufacturer B,9636637731,LIC8969,69.31,71,Spark Plug,9.24046E+13
P1112,Engine,Spec 112,Manufacturer C,3110652331,LIC2175,322.14,28,Brake Pad,4.78587E+13
P1113,Engine,Spec 113,Manufacturer C,1192373121,LIC5759,365.29,73,Alternator,4.40275E+13
P1114,Alternator,Spec 114,Manufacturer A,8560958382,LIC5560,381.79,93,Brake Pad,3.9181E+13
P1115,Tire,Spec 115,Manufacturer A,8311390276,LIC9292,266.77,11,Battery,2.47859E+13
P1116,Battery,Spec 116,Manufacturer A,7506766681,LIC7737,243,99,Battery,1.02228E+13
P1117,Tire,Spec 117,Manufacturer C,9019653288,LIC7604,469,9,Alternator,1.6564E+13
P1118,Spark Plug,Spec 118,Manufacturer B,7662319389,LIC2597,186.96,40,Engine,9.49604E+13
P1119,Alternator,Spec 119,Manufacturer C,8520716841,LIC8078,333.95,39,Spark Plug,
P1120,Brake Pad,Spec 120,Manufacturer A,9456648892,LIC4606,236.51,88,Brake Pad,
P1121,Tire,Spec 121,Manufacturer A,6243735546,LIC3391,204.3,49,Engine,
P1122,Battery,Spec 122,Manufacturer A,1519376935,LIC9947,75.72,56,Engine,
P1123,Battery,Spec 123,Manufacturer A,5344666870,LIC2704,351.27,4,Brake Pad,
P1124,Battery,Spec 124,Manufacturer C,3258110288,LIC9032,169.58,13,Engine,
P1125,Tire,Spec 125,Manufacturer B,7302878374,LIC6010,296.92,43,Engine,4.10518E+13
P1126,Battery,Spec 126,Manufacturer C,1831469939,LIC8539,385.87,48,Spark Plug,2.70301E+13
P1127,Tire,Spec 127,Manufacturer A,6342042443,LIC9305,168.76,41,Engine,3.64171E+13
P1128,Tire,Spec 128,Manufacturer B,1392345306,LIC4983,337.98,18,Alternator,6.67057E+12
P1129,Spark Plug,Spec 129,Manufacturer A,3650742981,LIC7623,159.8,1,Spark Plug,3.02694E+13
P1130,Brake Pad,Spec 130,Manufacturer A,8884450387,LIC3559,89.92,41,Engine,5.18871E+13
P1131,Engine,Spec 131,Manufacturer A,6918431463,LIC3784,124.76,12,Battery,7.26843E+11
P1132,Brake Pad,Spec 132,Manufacturer A,3120699749,LIC3836,325.05,88,Tire,3.28243E+13
P1133,Alternator,Spec 133,Manufacturer C,9307803952,LIC8356,406.4,64,Spark Plug,8.22756E+13
P1134,Tire,Spec 134,Manufacturer A,8463175313,LIC4195,82.21,19,Spark Plug,9.2032E+13
P1135,Spark Plug,Spec 135,Manufacturer C,8158339093,LIC3434,125.48,75,Spark Plug,7.08679E+13
P1136,Brake Pad,Spec 136,Manufacturer A,7691250320,LIC7114,401.26,95,Tire,7.2043E+13
P1137,Brake Pad,Spec 137,Manufacturer B,9328890725,LIC9773,69.99,25,Brake Pad,4.98728E+13
P1138,Brake Pad,Spec 138,Manufacturer B,8962691021,LIC1591,477.39,3,Tire,9.91525E+13
P1139,Brake Pad,Spec 139,Manufacturer B,4497661714,LIC2817,92.52,100,Spark Plug,1.84833E+13
P1140,Engine,Spec 140,Manufacturer B,9560509989,LIC2906,172.81,35,Tire,9.16492E+13
P1141,Tire,Spec 141,Manufacturer B,9807089675,LIC3330,367.96,63,Brake Pad,7.40891E+13
P1142,Brake Pad,Spec 142,Manufacturer C,8522317090,LIC9877,298.74,3,Alternator,9.55108E+12
P1143,Alternator,Spec 143,Manufacturer B,4955335565,LIC7422,482.42,83,Spark Plug,8.65737E+13
P1144,Tire,Spec 144,Manufacturer C,5884099191,LIC5880,239.65,63,Brake Pad,3.31152E+13
P1145,Engine,Spec 145,Manufacturer C,2207573738,LIC8993,62.3,76,Tire,3.97302E+13
P1146,Brake Pad,Spec 146,Manufacturer A,3746287451,LIC1699,274.31,91,Tire,8.59154E+13
P1147,Engine,Spec 147,Manufacturer C,5432592013,LIC5255,146.56,57,Spark Plug,7.45944E+13
P1148,Engine,Spec 148,Manufacturer A,1275538941,LIC8346,135.11,8,Alternator,3.11315E+13
P1149,Battery,Spec 149,Manufacturer B,6279100648,LIC3611,283.07,15,Alternator,3.65116E+13
P1150,Alternator,Spec 150,Manufacturer A,6019719624,LIC9292,313.96,73,Alternator,3.61962E+13
P1151,Engine,Spec 151,Manufacturer A,6830665562,LIC8279,441.55,93,Brake Pad,9.65513E+13
P1152,Engine,Spec 152,Manufacturer A,6659825767,LIC4762,231.78,34,Spark Plug,8.66273E+13
P1153,Alternator,Spec 153,Manufacturer C,3240641502,LIC3212,119.77,61,Tire,2.85713E+13
P1154,Battery,Spec 154,Manufacturer A,5486375338,LIC5962,482.71,17,Battery,2.0146E+13
P1155,Alternator,Spec 155,Manufacturer B,2014966381,LIC7878,365.62,51,Tire,6.71807E+13
P1156,Brake Pad,Spec 156,Manufacturer C,7612563710,LIC1289,458.94,64,Engine,5.28677E+13
P1157,Tire,Spec 157,Manufacturer B,6495178009,LIC3004,129.29,65,Tire,3.49485E+13
P1158,Spark Plug,Spec 158,Manufacturer C,3552141719,LIC7362,297.26,3,Battery,7.27893E+13
P1159,Spark Plug,Spec 159,Manufacturer A,7377782353,LIC1939,67.52,24,Brake Pad,16391583459
P1160,Battery,Spec 160,Manufacturer A,3128790710,LIC8983,280.12,98,Engine,2.4186E+13
P1161,Brake Pad,Spec 161,Manufacturer A,6273205877,LIC9827,273.83,76,Battery,3.14573E+13
P1162,Battery,Spec 162,Manufacturer A,6472808949,LIC2404,172.73,97,Engine,2.11255E+12
P1163,Battery,Spec 163,Manufacturer C,4123180533,LIC8742,56.43,86,Engine,5.91953E+13
P1164,Alternator,Spec 164,Manufacturer B,3919546776,LIC9272,417.08,50,Brake Pad,5.70646E+13
P1165,Tire,Spec 165,Manufacturer B,2094005424,LIC9648,473.67,23,Tire,6.48351E+13
P1166,Alternator,Spec 166,Manufacturer C,3740508203,LIC1099,487.94,13,Tire,9.44999E+13
P1167,Tire,Spec 167,Manufacturer A,3643798085,LIC2149,218.76,31,Spark Plug,8.61909E+13
P1168,Spark Plug,Spec 168,Manufacturer C,5475633780,LIC4054,261.6,25,Brake Pad,7.78533E+13
P1169,Engine,Spec 169,Manufacturer C,5389110225,LIC3277,435.62,30,Battery,9.85322E+13
P1170,Spark Plug,Spec 170,Manufacturer B,3546694487,LIC2859,100.67,51,Alternator,4.79796E+13
P1171,Spark Plug,Spec 171,Manufacturer B,1582315888,LIC8756,296.3,27,Battery,6.7989E+13
P1172,Brake Pad,Spec 172,Manufacturer C,7175515429,LIC1170,316.41,43,Tire,6.39454E+13
P1173,Alternator,Spec 173,Manufacturer B,2563307059,LIC1192,492.9,81,Alternator,8.65457E+13
P1174,Engine,Spec 174,Manufacturer A,4719108918,LIC1744,53.15,5,Brake Pad,3.77999E+13
P1175,Alternator,Spec 175,Manufacturer C,2058013650,LIC2939,234.43,9,Spark Plug,
P1176,Tire,Spec 176,Manufacturer A,4302449682,LIC3311,357.76,21,Spark Plug,
P1177,Tire,Spec 177,Manufacturer A,3243297181,LIC9090,475.71,39,Brake Pad,
P1178,Tire,Spec 178,Manufacturer A,8227225096,LIC9058,63.89,70,Tire,
P1179,Battery,Spec 179,Manufacturer A,7708704772,LIC9095,333.27,55,Brake Pad,
P1180,Spark Plug,Spec 180,Manufacturer C,9458596796,LIC2895,427.36,22,Spark Plug,
P1181,Tire,Spec 181,Manufacturer B,8504494532,LIC3303,320.39,3,Engine,1.52093E+13
P1182,Engine,Spec 182,Manufacturer B,4213830141,LIC4918,305.96,20,Spark Plug,1.83967E+12
P1183,Alternator,Spec 183,Manufacturer B,6450267371,LIC1954,71.02,50,Engine,6.87574E+13
P1184,Alternator,Spec 184,Manufacturer C,6807619570,LIC9095,192.44,41,Alternator,4.27779E+13
P1185,Brake Pad,Spec 185,Manufacturer A,7047453250,LIC9075,396.96,69,Alternator,3.49471E+13
P1186,Tire,Spec 186,Manufacturer B,3090470505,LIC9879,74.78,93,Battery,3.77492E+13
P1187,Engine,Spec 187,Manufacturer A,7600968590,LIC7809,107.57,40,Engine,2.08773E+13
P1188,Alternator,Spec 188,Manufacturer B,9455892082,LIC3117,296.32,10,Engine,2.33389E+13
P1189,Engine,Spec 189,Manufacturer B,8235296068,LIC8871,241.85,9,Tire,9.18711E+13
P1190,Brake Pad,Spec 190,Manufacturer A,5385715557,LIC4851,121.86,20,Battery,4.55758E+13
P1191,Alternator,Spec 191,Manufacturer C,4879082239,LIC4434,479.34,67,Brake Pad,2.51626E+13
P1192,Brake Pad,Spec 192,Manufacturer A,6770499499,LIC1436,342.71,30,Brake Pad,8.50566E+13
P1193,Engine,Spec 193,Manufacturer A,5102034565,LIC9791,266.45,16,Battery,2.84451E+13
P1194,Engine,Spec 194,Manufacturer A,6008642940,LIC8708,336.7,35,Engine,6.681E+13
P1195,Battery,Spec 195,Manufacturer C,9280396889,LIC2189,348.91,80,Engine,6.47866E+13
P1196,Spark Plug,Spec 196,Manufacturer C,2661254021,LIC9599,134.91,61,Brake Pad,6.44813E+13
P1197,Engine,Spec 197,Manufacturer C,9729581748,LIC3322,264.81,66,Spark Plug,5.81539E+13
P1198,Alternator,Spec 198,Manufacturer C,8824799519,LIC1837,449.04,46,Alternator,4.72881E+13
P1199,Battery,Spec 199,Manufacturer A,1622667498,LIC5307,358.2,59,Spark Plug,6.73537E+13
P1200,Battery,Spec 200,Manufacturer A,1741941899,LIC1186,280.02,69,Alternator,5.68082E+13
P1201,Battery,Spec 201,Manufacturer B,9279929015,LIC3873,143.01,27,Battery,9.57967E+13
P1202,Spark Plug,Spec 202,Manufacturer C,7284580340,LIC9537,81.6,75,Alternator,5.30283E+13
P1203,Tire,Spec 203,Manufacturer C,4853576582,LIC9113,68.51,22,Tire,7.48092E+13
P1204,Tire,Spec 204,Manufacturer C,9566375837,LIC7576,469.41,35,Spark Plug,8.62649E+12
P1205,Spark Plug,Spec 205,Manufacturer C,7257521560,LIC9820,314.33,33,Brake Pad,6.65864E+13
P1206,Brake Pad,Spec 206,Manufacturer C,7720495033,LIC8587,297.54,45,Brake Pad,2.12011E+13
P1207,Alternator,Spec 207,Manufacturer B,7675559694,LIC9175,277.11,76,Tire,8.10442E+13
P1208,Engine,Spec 208,Manufacturer C,8066454064,LIC9011,426.85,16,Engine,5.64902E+13
P1209,Brake Pad,Spec 209,Manufacturer B,3934548724,LIC2416,111.48,15,Spark Plug,2.82058E+13
P1210,Engine,Spec 210,Manufacturer B,5514503552,LIC5443,175.98,18,Brake Pad,5.87473E+12
P1211,Brake Pad,Spec 211,Manufacturer A,1361277072,LIC4595,383.85,38,Tire,3.42346E+13
P1212,Tire,Spec 212,Manufacturer B,4436522769,LIC6566,110.74,5,Alternator,3.00312E+13
P1213,Spark Plug,Spec 213,Manufacturer A,8149401071,LIC1290,117.62,60,Alternator,8.85907E+13
P1214,Brake Pad,Spec 214,Manufacturer A,5392366491,LIC3768,260.43,30,Tire,9.85703E+13
P1215,Alternator,Spec 215,Manufacturer C,4528574861,LIC1751,246.65,57,Brake Pad,7.17844E+13
P1216,Engine,Spec 216,Manufacturer A,8253406513,LIC2406,443.27,47,Battery,5.15527E+13
P1217,Brake Pad,Spec 217,Manufacturer A,3117433437,LIC5903,234.87,47,Battery,2.96137E+13
P1218,Battery,Spec 218,Manufacturer B,2939200693,LIC7943,120.32,8,Engine,5.9922E+13
P1219,Tire,Spec 219,Manufacturer C,1990984203,LIC8302,346.65,86,Brake Pad,4.30998E+13
P1220,Brake Pad,Spec 220,Manufacturer B,3689435131,LIC5451,495.61,67,Battery,8.99562E+13
P1221,Alternator,Spec 221,Manufacturer A,4955643132,LIC8702,343.7,26,Spark Plug,6.87426E+13
P1222,Tire,Spec 222,Manufacturer C,4904479604,LIC6457,109.62,34,Tire,7.79679E+13
P1223,Battery,Spec 223,Manufacturer B,2743294858,LIC2648,79.14,39,Spark Plug,3.78624E+13
P1224,Tire,Spec 224,Manufacturer A,3167039447,LIC8840,119.3,86,Engine,9.5496E+13
P1225,Battery,Spec 225,Manufacturer C,2426491753,LIC9892,237.31,63,Battery,2.05529E+13
P1226,Tire,Spec 226,Manufacturer A,9882729391,LIC7550,495.61,75,Engine,2.22773E+13
P1227,Alternator,Spec 227,Manufacturer C,5310459980,LIC7007,127.01,100,Spark Plug,6.81356E+13
P1228,Alternator,Spec 228,Manufacturer C,8904477776,LIC1582,212.58,66,Brake Pad,4.9792E+13
P1229,Engine,Spec 229,Manufacturer B,1885280227,LIC6087,153.17,13,Alternator,8.59658E+13
P1230,Spark Plug,Spec 230,Manufacturer A,5796226173,LIC7292,111.56,48,Battery,9.34979E+13
P1231,Battery,Spec 231,Manufacturer A,8563716390,LIC5010,441.02,37,Engine,3.00384E+13
P1232,Brake Pad,Spec 232,Manufacturer B,1350684377,LIC5796,418.9,34,Spark Plug,9.28909E+13
P1233,Engine,Spec 233,Manufacturer C,1717078623,LIC8667,352.74,6,Battery,5.78561E+13
P1234,Tire,Spec 234,Manufacturer C,5229685710,LIC6054,403.64,91,Battery,5.59698E+13
P1235,Alternator,Spec 235,Manufacturer A,9457198304,LIC9648,413.53,4,Engine,8.44977E+13
P1236,Engine,Spec 236,Manufacturer B,6101968666,LIC9688,166,92,Engine,5.11714E+12
P1237,Alternator,Spec 237,Manufacturer C,9435127585,LIC2469,357.48,9,Battery,7.71204E+13
P1238,Engine,Spec 238,Manufacturer C,2366168210,LIC1201,456.75,60,Spark Plug,2.7153E+13
P1239,Spark Plug,Spec 239,Manufacturer B,3364187545,LIC7120,391.68,99,Spark Plug,6.87755E+13
P1240,Brake Pad,Spec 240,Manufacturer B,2339495908,LIC7033,178.48,40,Spark Plug,1.22708E+13
P1241,Engine,Spec 241,Manufacturer C,2656779038,LIC3802,283.94,28,Battery,4.63516E+13
P1242,Battery,Spec 242,Manufacturer B,5539753018,LIC4312,260.94,42,Battery,9.61666E+13
P1243,Alternator,Spec 243,Manufacturer B,2587591782,LIC2725,123.63,35,Battery,9.33072E+13
P1244,Alternator,Spec 244,Manufacturer B,5079277565,LIC4148,121.42,14,Tire,8.06238E+13
P1245,Battery,Spec 245,Manufacturer C,8427033890,LIC9743,444.21,80,Spark Plug,2.62011E+13
P1246,Spark Plug,Spec 246,Manufacturer A,6098090790,LIC3946,76.93,3,Brake Pad,6.86548E+13
P1247,Brake Pad,Spec 247,Manufacturer C,8258073832,LIC3007,138.62,89,Tire,5.54883E+13
P1248,Engine,Spec 248,Manufacturer B,5922715544,LIC4174,372.92,22,Tire,
P1249,Battery,Spec 249,Manufacturer B,3693226993,LIC6895,435.27,26,Battery,
P1250,Tire,Spec 250,Manufacturer B,8978078668,LIC7685,240.81,78,Tire,
P1251,Brake Pad,Spec 251,Manufacturer C,8501053477,LIC5626,63.28,70,Spark Plug,
P1252,Engine,Spec 252,Manufacturer A,4904470054,LIC9647,127.07,27,Tire,
P1253,Spark Plug,Spec 253,Manufacturer C,9921249886,LIC1879,54.77,3,Brake Pad,
P1254,Battery,Spec 254,Manufacturer A,4150517410,LIC8099,165.44,87,Battery,
P1255,Spark Plug,Spec 255,Manufacturer A,8334472298,LIC6446,278.24,49,Brake Pad,
P1256,Alternator,Spec 256,Manufacturer B,1715115754,LIC4032,219.34,18,Engine,
P1257,Alternator,Spec 257,Manufacturer A,8830720546,LIC9666,437.79,90,Engine,
P1258,Spark Plug,Spec 258,Manufacturer A,7745063331,LIC1670,370.54,7,Spark Plug,
P1259,Spark Plug,Spec 259,Manufacturer B,4962931630,LIC1355,128.63,97,Spark Plug,
P1260,Tire,Spec 260,Manufacturer A,8268440232,LIC9184,66.34,52,Alternator,
P1261,Alternator,Spec 261,Manufacturer A,2171012277,LIC7554,103.77,9,Spark Plug,
P1262,Engine,Spec 262,Manufacturer C,6596134044,LIC6194,307.07,64,Battery,
P1263,Tire,Spec 263,Manufacturer B,1404903022,LIC4191,79.81,91,Brake Pad,
P1264,Alternator,Spec 264,Manufacturer C,8319515099,LIC5013,441.34,18,Brake Pad,
P1265,Brake Pad,Spec 265,Manufacturer B,7675522735,LIC3197,242.12,81,Alternator,
P1266,Brake Pad,Spec 266,Manufacturer C,6129705954,LIC9632,498.56,50,Tire,
P1267,Tire,Spec 267,Manufacturer B,7653785517,LIC9805,137.94,52,Engine,
